workerId,Time_spent_page_1,Time_spent_survey_1,Condition,Pin,Pinterest:Which of the following social media platforms do you have an account on?,Instagram:Which of the following social media platforms do you have an account on?,Facebook:Which of the following social media platforms do you have an account on?,Twitter:Which of the following social media platforms do you have an account on?,YouTube:Which of the following social media platforms do you have an account on?,Snapchat:Which of the following social media platforms do you have an account on?,Facebook:How often do you visit each of the following social media platforms?,Instagram:How often do you visit each of the following social media platforms?,Twitter:How often do you visit each of the following social media platforms?,Pinterest:How often do you visit each of the following social media platforms?,YouTube:How often do you visit each of the following social media platforms?,Snapchat:How often do you visit each of the following social media platforms?,Facebook:How often do you post content on each of the following social media platforms?,Instagram:How often do you post content on each of the following social media platforms?,Twitter:How often do you post content on each of the following social media platforms?,Pinterest:How often do you post content on each of the following social media platforms?,YouTube:How often do you post content on each of the following social media platforms?,Snapchat:How often do you post content on each of the following social media platforms?,Time_spent_page_2,Time_spent_survey_2,PinId,Time_spent_page_3,Time_spent_survey_3,"In a few sentences, please tell us about the pin you just observed.",What is your overall impression of the pin?,Please describe the reason behind your answer to the above question.,Time_spent_page_4,Time_spent_survey_4,"After observing the pin, what is your overall impression of the item shown in the image above?",How much do you think the pin creator favors the item shown in the image above?,How likely do you think there is a relationship between the pin creator and the organization selling the item?,Please describe the reason behind your answer to the above question.,Time_spent_page_5,Time_spent_survey_5,One of the lines in the the description of the pin you observed states: ,Time_spent_page_6,Time_spent_survey_6,Time_spent_page_7,Time_spent_survey_7,In which year were you born?,What is your gender?,What is the highest level of education you have completed?,What is your annual household income?,Time_spent_page_8,Time_spent_survey_8
41,21,21,2,4,No,No,Yes,No,No,No,Several Times A Day,Never,Never,Never,Every Few Weeks,Never,A Few Times A Week,Never,Never,Never,Never,Never,57,78,1548181098801468,31,109,It was a grey and white blanket being held up by a person.,Somewhat Positive,"I like to see home products displayed, usually.",71,180,Somewhat Positive,Moderately Favors,Neutral,I am just not sure of a relationship.,61,260,"affiliated link, means there is some connection.",35,295,28,323,1941,Male,Bachelor's Degree,"Less than $25,000",37,360
42,3,3,3,1,Yes,Yes,Yes,Yes,Yes,Yes,Several Times A Day,About Once A Day,Several Times A Day,A Few Times A Week,Several Times A Day,A Few Times A Week,Every Few Weeks,Less Often,Less Often,Less Often,Never,Never,32,35,697283954778000593,6,41,it is a soap holder.,Neutral,it was okay. nothing special.,28,69,Neutral,Moderately Favors,Neutral,it made sense.,19,94,it is a link to the product.,19,113,9,122,1989,Male,Bachelor's Degree,"$50,000 to $74,999",11,133
43,5,5,3,1,Yes,Yes,Yes,Yes,Yes,Yes,Several Times A Day,Several Times A Day,About Once A Day,Several Times A Day,About Once A Day,About Once A Day,Several Times A Day,Several Times A Day,Several Times A Day,Several Times A Day,A Few Times A Week,Several Times A Day,36,42,697283954778000593,94,136,A bar of soap and an elegant soap stand.,Somewhat Positive,It looked elegant with a nice bar of soap.,28,164,Somewhat Positive,Moderately Favors,Extremely Likely,Possibly. Maybe they are trying to promote there product and therefore they made a pin. ,34,205,rubbed bronze,22,227,6,233,1985,Female,Some College,"$35,000 to $49,999",12,245
44,20,20,4,2,Yes,No,Yes,Yes,Yes,No,Several Times A Day,Never,About Once A Day,A Few Times A Week,About Once A Day,Never,About Once A Day,Never,About Once A Day,A Few Times A Week,Every Few Weeks,Never,66,86,781374604069700266,12,98,It was an ad for suet for feeding birds.  You put the suet outside in the winter when birds have a hard time finding food.,Extremely Positive,Wild birds have a hard time finding food in the winter so it is good to feed them.,92,190,Extremely Positive,Strongly Favors,Extremely Likely,It looks like a manufacture's ad.,28,228,The person posting the ad gets paid from the manufacturer.,34,262,17,279,1962,Female,Some College,"$75,000 to $99,999",19,298
45,4,4,2,5,Yes,Yes,Yes,Yes,Yes,No,About Once A Day,About Once A Day,A Few Times A Week,Every Few Weeks,A Few Times A Week,Never,Less Often,Every Few Weeks,Never,Less Often,Less Often,Never,37,41,804314814672700115,6,47,"It was a dog bed. It looked like a shark. It was a covered, giving the dog a nice little nook to sleep in. ",Somewhat Positive,I love dog stuff. It was a cute bed. ,40,87,Neutral,Moderately Favors,Somewhat Likely,The description was the same. They probably posted the pin. They want to make money. ,39,136,"It means that it is the link to the item on Amazon, for purchase. ",20,156,18,174,1986,Male,Bachelor's Degree,"$35,000 to $49,999",11,185
46,15,15,3,4,Yes,Yes,Yes,Yes,Yes,No,A Few Times A Week,A Few Times A Week,Several Times A Day,Several Times A Day,A Few Times A Week,Never,Every Few Weeks,Less Often,A Few Times A Week,A Few Times A Week,Never,Never,52,67,1548181098801468,24,91,A woman holding a bed spread. Not sure why,Neutral,Just doesn't do anything. It's not bad but also not exciting ,119,226,Somewhat Positive,Moderately Favors,Somewhat Likely,Just seems like someone who takes time to post this must have some connection to the product ,96,328,A link to the product in the picture ,33,361,23,384,1969,Male,Some College,"$50,000 to $74,999",18,402
47,5,5,1,3,Yes,Yes,Yes,No,Yes,Yes,A Few Times A Week,About Once A Day,Every Few Weeks,About Once A Day,About Once A Day,Several Times A Day,Less Often,Less Often,Less Often,Less Often,Less Often,Less Often,34,39,414823815668000016,5,44,Pink baby shoes,Neutral,neither,16,60,Somewhat Positive,Somewhat Favors,Somewhat Unlikely,looks solid,16,85,,,,13,98,1994,Male,Some College,"$50,000 to $74,999",12,110
48,12,12,2,4,Yes,No,Yes,No,Yes,No,Several Times A Day,Never,Never,About Once A Day,A Few Times A Week,Never,A Few Times A Week,Never,Never,About Once A Day,Never,Never,48,60,1548181098801468,16,76,It was a picture of someone holding a blanket. The blanket was denim blue with cream colored stripes. It was labeled For The Home.,Somewhat Positive,I like the blanket.,77,153,Neutral,Strongly Favors,Somewhat Likely,The Pinner may get something out of posting this pin for the company. It would help the company get more sales.,68,231,This is the affiliated link to the blanket that takes you to a page where you can buy it.,30,261,30,291,1986,Female,Bachelor's Degree,"$25,000 to $34,999",14,305
49,9,9,1,4,No,No,Yes,Yes,Yes,No,Every Few Weeks,Never,A Few Times A Week,Not Sure,About Once A Day,Never,Every Few Weeks,Never,Every Few Weeks,Never,Every Few Weeks,Never,82,91,1548181098801468,24,115,I know nothing about Pinterest,Neutral,I have never visited the Pinterest site,43,158,Somewhat Positive,Strongly Favors,Somewhat Likely,Of courser the creator has a positive impression of what was created otherwise it would not be there.,97,267,,,,68,335,1955,Male,Bachelor's Degree,"$50,000 to $74,999",26,361
50,7,7,5,3,No,Yes,Yes,Yes,Yes,Yes,About Once A Day,About Once A Day,Never,Less Often,A Few Times A Week,About Once A Day,Less Often,Less Often,Never,Never,Never,Every Few Weeks,53,60,414823815668000016,13,73,"The pin included images of miniature pink shoes from four different angles. There was text in the center of the pin. The poster captioned the picture ""DYI"". ",Somewhat Negative,The images were not shot well and did not really give a great representation of the item at hand. The artwork was sloppy and unattractive.,78,151,Neutral,Moderately Favors,Somewhat Unlikely,"There may be little to no relation between the pin creator and the organization because the creator is making shoes by themselves, instead of purchasing it online.",39,203,"To me, this means that the poster is getting money for promoting the item. This makes me slightly skeptical when believing what the poster wrote. ",38,241,10,251,1996,Male,Bachelor's Degree,"$75,000 to $99,999",11,262
51,8,8,4,5,Yes,Yes,Yes,Yes,Yes,No,Several Times A Day,Every Few Weeks,Every Few Weeks,Every Few Weeks,About Once A Day,Never,Every Few Weeks,Less Often,Every Few Weeks,Less Often,Less Often,Never,63,71,804314814672700115,9,80,It's a plush shark dog bed. It looks like it's for a small dog.,Neutral,It doesn't interest me. It's obviously just a product being posted by a business/person. ,67,147,Neutral,Slightly Favors,Extremely Likely,It's being sold by Zhao&sons and appears to be a Zhao&sons product.,69,227,A cut of the sale goes to the person who posted the affiliate link. ,30,257,18,275,1978,Male,Associate's Degree,"$75,000 to $99,999",12,287
52,11,11,4,1,Yes,Yes,No,No,Yes,No,Never,About Once A Day,Never,About Once A Day,About Once A Day,Never,Never,Every Few Weeks,Never,Every Few Weeks,Every Few Weeks,Never,79,90,697283954778000593,5,95,Looks like a soap holder made out of some kind of metal with an interesting design. ,Neutral,"I'm not really interested in this pin at all, but I wouldn't call it negative. ",66,161,Neutral,Somewhat Favors,Neutral,I just don't care about this pin. I don't know what more you want me to say. I am not interested. ,385,574,This is from a company.,20,594,7,601,1990,Male,High School Graduate,"$100,000 to $124,999",21,622
53,9,9,1,1,Yes,Yes,Yes,Yes,Yes,Yes,Several Times A Day,Every Few Weeks,Never,Every Few Weeks,About Once A Day,Less Often,Several Times A Day,Never,Never,A Few Times A Week,Never,Never,47,56,697283954778000593,4,60,It was a soap dish,Neutral,It isnt a bad idea but not something I need.,26,86,Neutral,Somewhat Favors,Neutral,it doesn't affect me one way or the other. ,22,115,,,,3,118,1984,Male,Some College,"Less than $25,000",21,139
54,17,17,1,2,No,No,Yes,Yes,No,No,About Once A Day,Never,About Once A Day,Never,A Few Times A Week,Never,Never,Never,Never,Never,Never,Never,34,51,781374604069700266,22,73,It was an advertisement for suet plugs. These are to feed wild birds.,Somewhat Positive,My husband feeds the birds.,41,114,Somewhat Positive,Strongly Favors,Somewhat Likely,There is probably a reason for the pin creator to advertise the product.,58,199,,,,15,214,1959,Female,Doctoral Degree,"$150,000 or more",22,236
55,10,10,4,1,Yes,No,Yes,Yes,Yes,No,Several Times A Day,Never,About Once A Day,A Few Times A Week,About Once A Day,Never,Several Times A Day,Never,Every Few Weeks,Never,Every Few Weeks,Never,66,76,697283954778000593,8,84,It was a bathroom wall soap holder. It appeared to be antiqued brass (metal). Antique style.,Extremely Positive,"It was beautiful, I could totally see it in my bathroom.",79,163,Somewhat Positive,Strongly Favors,Extremely Likely,"The might be an amazon reseller, or at least getting a commision for the click-through when purchased.",110,289,"It means, if you buy the item after clicking through on the link (not going there later directly), they get a commission (payment) on the sale.",53,342,19,361,1962,Female,Some College,"$25,000 to $34,999",14,375
56,9,9,4,5,Yes,Yes,Yes,Yes,Yes,Yes,Several Times A Day,Several Times A Day,Several Times A Day,Less Often,A Few Times A Week,Every Few Weeks,Every Few Weeks,Less Often,Several Times A Day,Never,Never,Every Few Weeks,39,48,804314814672700115,7,55,"It's a cute shark bed for a dog. It looks like an advertisement, but I still thought it was neat.",Somewhat Positive,The shark was cute and well-presented.,56,111,Somewhat Positive,Somewhat Favors,Somewhat Likely,"The pin creator gets a commission for selling the item. Although Amazon does offer commissions without a direct relationship between the person getting the commission and the group that sells the item, the way the item's name is designed for search engine results instead of organic sales seems somewhat shady, and I would expect someone like that to post about the item all over the internet.",102,224,"It means that any time someone clicks the link and buys the shark bed, then the person who posted it will make a small percentage of the sale.",42,266,23,289,1990,Male,"Professional Degree (e.g., MBA, J.D.)","$75,000 to $99,999",11,300
57,6,6,1,4,Yes,Yes,Yes,Yes,Yes,No,Several Times A Day,Every Few Weeks,Several Times A Day,Several Times A Day,Several Times A Day,Never,A Few Times A Week,A Few Times A Week,A Few Times A Week,Every Few Weeks,Less Often,Never,55,61,1548181098801468,15,76,It was a picture of someone holding up a blanket whilst standing behind the blanket. You could see the feet and outstretched hands of the person behind the blanket. The blanket was a blue / grey color and the floor was wooden,Neutral,"It didn't really bother nor interest me to be honest, it left me totally indifferent and therefore I selected neutral",131,207,Somewhat Negative,Moderately Favors,Somewhat Unlikely,I think it's likely that the person has purchased the blanket and in their picture are showing the one they bought and this pin is pointing to where you can buy it. I think they obviously like it and are promoting it because of it,107,324,,,,26,350,1966,Female,Some College,"$75,000 to $99,999",11,361
58,6,6,1,2,Yes,Yes,Yes,Yes,Yes,No,About Once A Day,A Few Times A Week,Every Few Weeks,Several Times A Day,Several Times A Day,Never,A Few Times A Week,A Few Times A Week,Every Few Weeks,About Once A Day,Less Often,Never,43,49,781374604069700266,22,71,It was a suet cake product for birds. I'm assuming the person posted it to either remember to buy it later or share it with others. It didn't appear to be posted by a company as an ad.,Somewhat Positive,"Probably not the highest quality product, but I love birds, too.",75,146,Neutral,Strongly Favors,Somewhat Likely,"I think the person probably intends to buy the product. I'm surprised at the price. By the packaging, it just seemed a bit low quality. but they're actually pretty pricey, so maybe they are better than expected.",81,240,,,,14,254,1973,Female,Some College,"Less than $25,000",12,266
59,39,39,5,5,Yes,Yes,Yes,Yes,Yes,Yes,Every Few Weeks,Never,Never,Every Few Weeks,Several Times A Day,Never,Less Often,Never,Never,Never,Never,Never,200,239,804314814672700115,24,263,"The pin I have just observed shows a small dogs bed. It belongs in the category of dog care and it is made in the design of a shark. It only has the sharks head, not the entire body though.",Somewhat Positive,"I believe it's positive because it gives your dog something to look forward too when they go to bed, so rather than just sleeping in a plain old boring bed, they are sleeping in one where it's interesting and decorative",264,527,Neutral,Somewhat Favors,Somewhat Likely,I feel there could be a relationship between the pin and the pin creator because they might have a dog or a cat at home and they've possibly purchased this product before so they probably posted this pin to encourage others to purchase this item for their pets.,480,1186,"Meaning this link is linked to an organization, but the pin creator receives the payment for the sales.",100,1286,124,1410,1980,Female,Associate's Degree,"$25,000 to $34,999",73,1483
60,5,5,2,5,Yes,Yes,Yes,Yes,Yes,No,Every Few Weeks,A Few Times A Week,Several Times A Day,A Few Times A Week,About Once A Day,Never,Never,Never,Every Few Weeks,Never,Never,Never,38,43,804314814672700115,30,73,"I saw a Pinterest pin for a dog bed. The dog bed was made to look like a shark. It was grey with a face, fins, and teeth.",Somewhat Positive,"I thought the dog bed was fun and cute, so overall I liked the pin.",51,124,Somewhat Positive,Strongly Favors,Extremely Likely,"The pin seemed to be promoting the product, and it had the term ""affiliate link"" affiliate link in the description.",78,229,"It means affiliate link, that the poster has an interest in promoting the product or has been paid or otherwise incentivized to promote or link to the product",63,292,16,308,1986,Male,Bachelor's Degree,"$50,000 to $74,999",8,316
