workerId,Time_spent_page_1,Time_spent_survey_1,Condition,Video,Pinterest:Which of the following social media platforms do you have an account on?,Instagram:Which of the following social media platforms do you have an account on?,Facebook:Which of the following social media platforms do you have an account on?,Twitter:Which of the following social media platforms do you have an account on?,YouTube:Which of the following social media platforms do you have an account on?,Snapchat:Which of the following social media platforms do you have an account on?,Facebook:How often do you visit each of the following social media platforms?,Instagram:How often do you visit each of the following social media platforms?,Twitter:How often do you visit each of the following social media platforms?,Pinterest:How often do you visit each of the following social media platforms?,YouTube:How often do you visit each of the following social media platforms?,Snapchat:How often do you visit each of the following social media platforms?,Facebook:How often do you post content on each of the following social media platforms?,Instagram:How often do you post content on each of the following social media platforms?,Twitter:How often do you post content on each of the following social media platforms?,Pinterest:How often do you post content on each of the following social media platforms?,YouTube:How often do you post content on each of the following social media platforms?,Snapchat:How often do you post content on each of the following social media platforms?,Time_spent_page_2,Time_spent_survey_2,VideoId,player_actions,Time_spent_page_3,Time_spent_survey_3,"In a few sentences, please tell us about the video you just watched.",What is your overall impression of the video?,Please describe the reason behind your answer to the above question.,Time_spent_page_4,Time_spent_survey_4,Time_spent_page_description,Time_spent_survey_description,"After watching the video, what is your overall impression of the item shown in the image above?",How much do you think the video creator favors the item shown in the image above?,How likely do you think there is a relationship between the video creator and the organization selling the item?,Please describe the reason behind your answer to the above question.,Time_spent_page_5,Time_spent_survey_5,One of the lines in the the description of the video you watched states: ,Time_spent_page_6,Time_spent_survey_6,Time_spent_page_7,Time_spent_survey_7,In which year were you born?,What is your gender?,What is the highest level of education you have completed?,What is your annual household income?,Time_spent_page_8,Time_spent_survey_8
31,8,9,3,5,Yes,Yes,Yes,Yes,Yes,No,Several Times A Day,Several Times A Day,Several Times A Day,Several Times A Day,Several Times A Day,Never,Several Times A Day,About Once A Day,Several Times A Day,About Once A Day,A Few Times A Week,Never,41,50,xU-z-hwfRrc,Start|0;-1|0;3|0;1|0.0010001659393310547;,222,272,It was a review of a record player that Jordan purchased from Amazon. It looked like a mini suitcase when folded up.,Extremely Positive,"I liked his overall review style because it was laid back, but informative.",86,358,19,377,Extremely Positive,Moderately Favors,Somewhat Likely,"Jordan seemed to like the portable turntable a lot. However, there were just a few things he didn't like. The lack of cord storage and the fact it wasn't battery operated kind of limited some of it's uses. ",105,482,"If I click on a link to purchase an item, the affiliate will get a percentage of the sale.",51,533,21,554,1973,Female,Some College,"$35,000 to $49,999",13,567
32,38,38,5,1,Yes,No,No,No,Yes,No,About Once A Day,A Few Times A Week,A Few Times A Week,A Few Times A Week,A Few Times A Week,Every Few Weeks,Never,Never,Never,Never,Never,Never,54,92,DQktwMexxE0,Start|0;-1|0;3|0;1|0.002000093460083008;0|217.081;,250,342,It was a cat reacting to a Furby.,Neutral,It was just okay.  It wasn't particularly funny or informative. ,77,419,32,451,Neutral,Somewhat Favors,Somewhat Likely,I saw that they get commission if someone clicks on the product link.,64,515, That the person will get money if you click on the product link. ,36,551,29,580,1975,Female,Master's Degree,"$100,000 to $124,999",18,598
33,15,15,4,2,No,Yes,Yes,Yes,Yes,Yes,Several Times A Day,Several Times A Day,About Once A Day,Never,Several Times A Day,Several Times A Day,A Few Times A Week,Every Few Weeks,Every Few Weeks,Never,Less Often,A Few Times A Week,43,58,FtB3PL9hcWk,Start|0;-1|0;3|0;1|0;0|204.901;,209,267,The video was about a woman doing a makeup review for Loreal. She applies the makeup and talks about the different colors included.,Neutral,I'm a male that doesn't wear makeup so the video wasn't relevant to me specifically. I still thought the video was well done and the review was competent.,89,357,15,372,Neutral,Strongly Favors,Somewhat Likely,"She states that she will receive a small commission if you purchase the product through her affiliate links, so she must have a relationship with the organization.",83,455,"That she is partnered up with the organization providing the affiliate links, she will make a small amount of money every time someone purchases the item from the link. ",60,515,35,550,1994,Male,Some College,"$125,000 to $149,999",12,562
34,14,14,4,4,No,Yes,Yes,Yes,Yes,No,About Once A Day,Every Few Weeks,Less Often,Never,A Few Times A Week,Never,A Few Times A Week,Never,Never,Never,Never,Never,69,83,vozXN-Jnn6s,Start|0;-1|0;3|0;1|0.01223411444091797;,199,282,The video showed footage from drones and dashcams.  Primarily it was showing country and rural scenes in Iceland.  Techno or EDM music was playing.,Neutral,"I liked the subject matter, but wasn't a fan of the music.",52,334,4,338,Neutral,Moderately Favors,Extremely Likely,The video creator makes money if someone orders through that Amazon link.,29,367,Ordering through that link results in the video creator getting a cut of the sale.,19,386,12,398,1981,Male,Bachelor's Degree,"$35,000 to $49,999",9,407
35,35,35,4,1,No,Yes,Yes,Not Sure,Yes,Yes,Several Times A Day,A Few Times A Week,Never,Less Often,Several Times A Day,Less Often,Less Often,Less Often,Never,Never,Never,Never,52,87,DQktwMexxE0,Start|0;-1|0;3|0;1|0;2|182.84302597402598;3|182.84302597402598;1|182.843025;2|191.29819480519478;3|191.29819480519478;1|191.298194;2|200.45796103896103;3|200.45796103896103;1|200.45896116593934;2|196.58267532467534;3|196.58267532467534;1|196.5855700934601;0|217.081;,209,296,A cat reaction to a Japanese toy.,Neutral,I don't see any major happiness or sadness to the cat. I think it is just a very Neutral video.,65,361,60,421,Neutral,Moderately Favors,Somewhat Likely,May be if someone like cats would try this cat food.,52,473,It means it is like an advertisement where the video creator get paid for each click.,42,515,36,551,1984,Male,Bachelor's Degree,"$125,000 to $149,999",15,566
36,7,7,4,1,Yes,Yes,Yes,Yes,Yes,Yes,Several Times A Day,A Few Times A Week,A Few Times A Week,A Few Times A Week,About Once A Day,A Few Times A Week,A Few Times A Week,Less Often,Less Often,Less Often,Less Often,About Once A Day,53,60,DQktwMexxE0,Start|0;-1|0;3|0;1|0.004999876022338867;2|107.45110389610389;3|107.45110389610389;1|107.4641030114441;2|132.8166103896104;3|132.8166103896104;1|132.81661;2|142.68097402597402;3|142.68097402597402;1|142.682508;2|161.3528051948052;3|161.3528051948052;1|161.352805;2|166.9895844155844;3|166.9895844155844;1|166.99058392752076;2|175.79705194805194;3|175.79705194805194;1|175.805432;2|183.89992207792207;3|183.89992207792207;1|183.90092192752076;2|190.9458961038961;3|190.9458961038961;1|190.95633804196166;2|197.63957142857143;3|197.63957142857143;1|197.64057092752074;2|205.03784415584414;3|205.03784415584414;1|205.03884416593934;2|210.32232467532467;3|210.32232467532467;1|210.32434992752076;0|217.081;1|169.10437655089737;2|169.10337662337662;3|169.10337662337662;1|169.10437592752075;2|85.60858441558442;3|85.60858441558442;1|85.609603;,173,233,A cat owner was messing with her cat with a Furbie. ,Neutral,It was kind of funny but long and got boring.,53,287,52,339,Neutral,Does Not Favor At All,Extremely Unlikely,The video did not focus on the product.  It was about a cat and a Furbie.,80,419,The person who posted the video has a partnership with YouTube and gets money for the number of hits that he or she generates.,53,472,34,506,1970,Male,Bachelor's Degree,"$100,000 to $124,999",16,522
37,22,22,7,5,Yes,Yes,Yes,Yes,Yes,No,Several Times A Day,Several Times A Day,Several Times A Day,Several Times A Day,Several Times A Day,Never,A Few Times A Week,A Few Times A Week,A Few Times A Week,About Once A Day,Less Often,Never,91,113,xU-z-hwfRrc,Start|0;-1|0;3|0;1|0.009000062942504883;2|2.5074318181818183;3|2.5074318181818183;1|2.5202179485015868;3|37.694469999999995;1|37.7040338550415;2|24.35790909090909;3|24.35790909090909;1|24.35890916593933;0|220.721;,277,391,I watched a video review of the Crosley portable record player. The reviewer gave the record player fairly high marks. ,Somewhat Positive,The reviewer gave the record player a pretty good review with the exception of the bass not sounding very powerful as well as the inability to store the cord inside the case.,198,589,28,617,Somewhat Positive,Moderately Favors,Somewhat Likely,The reviewer has links that give the YouTube watcher the ability to purchase the items he's reviewed. I believe the reviewer gets a small amount of money for each item that's sold from the link on his page.,239,856,By using the links to buy an item the seller gives the user a small amount of money.,337,1193,28,1221,1974,Female,Bachelor's Degree,"$50,000 to $74,999",33,1254
38,14,14,5,3,No,No,Yes,No,Yes,No,Every Few Weeks,Never,Never,Never,Several Times A Day,Never,Never,Never,Never,Never,Less Often,Never,51,65,jtiP-cKE16U,Start|0;-1|0;3|0;1|0.014000177383422852;0|213.141;,228,293,"This was an advertisement for a hotel in Denmark (Comwell Kellers), featuring many photos of what it has to offer with ""Deck the Halls"" playing in the background.",Somewhat Positive,"I enjoyed looking at all the luxurious offerings of this hotel, but the music was extremely annoying. I have no complaints otherwise. ",152,445,45,490,Somewhat Positive,Moderately Favors,Extremely Likely,I would imagine there is a relationship behind the creator and this organization - that only makes sense to me.,84,574,This means that there's a 3rd party working to promote this hotel.,43,617,22,639,1971,Female,Bachelor's Degree,"Less than $25,000",14,653
39,18,18,2,2,No,No,Yes,Yes,Yes,No,Several Times A Day,Never,Several Times A Day,Never,About Once A Day,Never,A Few Times A Week,Never,Every Few Weeks,Never,Less Often,Never,44,62,FtB3PL9hcWk,Start|0;-1|0;3|0;1|0.007999897003173828;0|204.901;,214,276,A woman reviews an l'oreal makeup strip. ,Somewhat Negative,I have no interest in makeup. ,86,362,17,379,Neutral,Moderately Favors,Neutral,"I don't have any strong opinions about makeup, as it is a topic I have no interest in. I don't know if the vlogger has a relationship with l'oreal or not. ",76,455,It means nothing to me. ,21,476,25,501,1985,Male,Bachelor's Degree,"Less than $25,000",14,515
40,7,7,2,5,Yes,Yes,Yes,Yes,Yes,Yes,About Once A Day,Several Times A Day,About Once A Day,About Once A Day,About Once A Day,About Once A Day,Every Few Weeks,Every Few Weeks,Every Few Weeks,About Once A Day,Never,Every Few Weeks,29,36,xU-z-hwfRrc,Start|0;-1|0;3|0;1|0.00800013542175293;,225,261,The video was about a guy reviewing a record player. Overall he seemed to like it a lot. He had never had a record player before. ,Somewhat Positive,It was entertaining enough and the person filming seemed enthusiastic. ,34,295,8,303,Somewhat Positive,Moderately Favors,Extremely Likely,"There was an affiliate link to this item on the creator's page, indicating there is likely a relationship between them. ",40,343,This means the company is paying the content creator to show their product.,16,359,14,373,1994,Female,Bachelor's Degree,"$150,000 or more",14,387
41,15,15,2,5,No,No,Yes,Yes,Yes,No,A Few Times A Week,Never,A Few Times A Week,Never,Several Times A Day,Never,Less Often,Never,Less Often,Never,Less Often,Never,47,62,xU-z-hwfRrc,Start|0;-1|0;3|0;1|0.003000020980834961;0|220.721;,241,303,This video was a review of the Crosley Record Player. The person reviewing the record player gave an over view of the product and said he was pleased with it. ,Extremely Positive,I think the video was very good and to the point. Jordan gave the major features of the record player and also gave the viewer his thoughts. The quality of the video is excellent as is the audio. I do not have any complaints about the video. I thought it was overhaul excellent. ,171,474,25,499,Extremely Positive,Moderately Favors,Somewhat Likely,Looking at the Amazon reviews it seems that the record player is not as good as Jordan is claiming it to be. Also Jordan stated that he did not look at reviews of the record player. This is highly suspicious since most products I buy I look at reviews first. Which leads me to believe the organization might have sent the record player to him for free and hence felt he had to give it a good review. ,175,674,This means that Jordan probably has some kind of relationship with the affiliate and is profiting from people clicking on the links. This also means to me that he is promoting the affiliates most likely for his personal gain. On the other hand these affiliate links could also be present to help the viewer in finding the products that he has in his video. ,200,874,37,911,1974,Female,Bachelor's Degree,"$100,000 to $124,999",25,936
42,45,45,2,2,No,No,Yes,No,Yes,No,Several Times A Day,Never,Never,Never,Several Times A Day,Never,Every Few Weeks,Never,Never,Never,Never,Never,108,153,FtB3PL9hcWk,Start|0;-1|0;3|0;1|2.8564789370574952;3|14.155541;1|15.97466602670288;3|16.37752;1|16.481519853134156;,279,432,Judy making a review of Loreal makeup.She showed her applying it.,Somewhat Negative,It bored me.,115,547,48,595,Somewhat Positive,Moderately Favors,Extremely Unlikely,She stated she usually does not like the brand.,49,644,paid for clicks,51,695,36,731,1959,Male,Some College,"Less than $25,000",43,775
43,53,53,5,2,Yes,Yes,Yes,Yes,Yes,No,A Few Times A Week,A Few Times A Week,A Few Times A Week,Several Times A Day,A Few Times A Week,Never,Never,Every Few Weeks,Every Few Weeks,About Once A Day,Never,Never,77,130,FtB3PL9hcWk,Start|0;-1|0;3|0;1|0.00599980354309082;3|0;1|0.5863118569488526;0|204.901;,236,366,It was about an LA Palette eyeshadow that she had purchased at the drug store.  She showed us how she did her smokey eye look with the different colors.  In total there were ten colors.,Somewhat Positive,"I like videos like this to try out new makeup.  The only thing about this video was that she was going quickly and I don't think I could have kept up with her if I were trying to complete this look.  And she was easily distracted by other things, not the actual creating the video dialogue.",184,550,57,607,Somewhat Positive,Moderately Favors,Extremely Likely,She said that you could click on a link to the product and she would receive a commission.,59,666,She gets paid for everytime a person hits the link and purchases a product after clicking this link.,40,706,38,744,1981,Female,Bachelor's Degree,"$75,000 to $99,999",24,768
44,17,17,1,3,Yes,Yes,Yes,Yes,Yes,Yes,Several Times A Day,Several Times A Day,Less Often,Every Few Weeks,A Few Times A Week,A Few Times A Week,Every Few Weeks,Every Few Weeks,Less Often,Every Few Weeks,Less Often,A Few Times A Week,70,87,jtiP-cKE16U,Start|0;-1|0;3|0;1|0.016000032424926758;0|213.18166666666667;,211,298,It was a slideshow of pictures of different hotels with Christmas music playing in the background,Somewhat Negative,The pictures were nice but the Christmas music made no sense,33,331,21,352,Somewhat Positive,Somewhat Favors,Neutral,I didn't see much of a connection,48,400,,,,28,428,1988,Female,Master's Degree,"$75,000 to $99,999",20,448
45,5,5,6,2,Yes,Yes,Yes,No,Yes,Yes,Several Times A Day,About Once A Day,Never,Several Times A Day,Several Times A Day,Several Times A Day,Several Times A Day,About Once A Day,Never,Never,Never,Several Times A Day,32,37,FtB3PL9hcWk,Start|0;-1|0;3|0;1|0.0009999275207519531;0|204.901;,215,252,"The video showed a woman reviewing and using a new loreal beauty product. I was part of a series or blog of sorts, that reviews beauty products, among other things, from what I could tell.",Neutral,"I have no interest in this subject, it was hard to pay attention, though I'm sure it's a great video for the appropriate viewer.",80,332,14,346,Somewhat Positive,Moderately Favors,Somewhat Unlikely,"Assuming this is asking my reasoning behind my answer to the question directly above, I feel as though the person is probably just an independent reviewer, and not paid to do this.",65,411,"That the available links are ""referral links."" Meaning that the person in the video purchases these products with their own user account, and the companies she purchases from have referral links available, so that she can get a discount, points, etc, when someone shops and buys via her referral link.",68,479,14,493,1991,Male,Some College,"$35,000 to $49,999",9,502
